NAME,25th,75th,Total
Dominican University of California,1035,1210,2000
Berea College,1030,1213,2000
Whittier College,1030,1213,2000
Florida Institute of Technology,1150,1340,2000
Union University,1110,1360,2000
Mississippi State University,1070,1330,2000
Lipscomb University,1060,1320,2000
Bellarmine University,1060,1270,2000
Georgia State University,1060,1250,2000
University of Maine,1050,1250,2000
Misericordia University,1040,1200,2000
Widener University,1020,1200,2000
Illinois State University,1010,1190,2000
Oral Roberts University,1015,1225,2000
Murray State University,1028,1213,2000
North Central University,1033,1208,2000
St. Norbert College,1030,1210,2000
Wells College,1010,1230,2000
Converse College,1040,1200,2000
Lewis University,1040,1200,2000
Western Carolina University,1030,1210,2000
Saint Martin's University,1020,1220,2000
The Master's University and Seminary,990,1250,2000
Trine University,1010,1230,2000
Hawaii Pacific University,1020,1220,2000
DeSales University,1010,1230,2000
Roberts Wesleyan College,1010,1230,2000
University of Sioux Falls,1060,1180,2000
Geneva College,1000,1240,2000
Aquinas College,1010,1230,2000
Bethany Lutheran College,1050,1190,2000
Emmaus Bible College,950,1290,2000
University of Houston--Clear Lake,1040,1200,2000
Bryan College,974,1262,2000
Missouri State University,1018,1220,2000
Anderson University (SC),958,1275,2000
Corban University,1030,1200,2000
Indiana Wesleyan University--Marion,1010,1220,2000
Eastern Mennonite University,1000,1230,2000
University of Mary Hardin-Baylor,1030,1200,2000
McKendree University,960,1270,2000
Houston Baptist University,1030,1200,2000
Stevenson University,1030,1200,2000
Southern Illinois University Edwardsville,1010,1220,2000
Lyon College,1040,1188,2000
University of La Verne,1020,1205,2000
University of Northern Iowa,980,1241,2000
William Woods University,996,1225,2000
Linfield University,1020,1200,2000
Westminster College (PA),1000,1220,2000
Presbyterian College,1010,1210,2000
Massachusetts College of Liberal Arts,990,1230,2000
Morehouse College,1010,1210,2000
Westminster College (MO),1030,1190,2000
Brigham Young University--Idaho,1010,1210,2000
Niagara University,1020,1200,2000
Marian University (IN),1020,1200,2000
University of Pittsburgh--Johnstown,1020,1200,2000
Brescia University,1000,1220,2000
Olivet Nazarene University,1000,1220,2000
Charleston Southern University,1020,1200,2000
St. Joseph's College--Long Island,1020,1200,2000
Eastern University,1030,1190,2000
Southern Arkansas University,1000,1220,2000
Northern Kentucky University,990,1230,2000
Palm Beach Atlantic University,1000,1220,2000
University of Colorado--Colorado Springs,1010,1210,2000
Wisconsin Lutheran College,1016,1198,2000
University of Puerto Rico--Cayey,998,1215,2000
Ripon College,1000,1210,2000
St. Ambrose University,1020,1190,2000
Capital University,1000,1210,2000
